epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.81182,1.4586,4.45647,1.51403,0.03997,1,0.20729,0.09121,1.69061,3.91312,2.58522,0,0,0
2,4.16594,1.53734,4.39948,1.69142,0.04191,1,0.30403,0.16031,1.70667,3.96652,2.57987,6.12625e-06,6.12625e-06,6.12625e-06
3,4.82695,1.33083,4.34873,1.52631,0.04028,1,0.2985,0.18407,1.72867,3.98411,2.61224,1.2005e-05,1.2005e-05,1.2005e-05
4,5.49826,1.25373,4.38054,1.55913,0.04161,1,0.17413,0.09701,1.7606,3.97995,2.6337,1.76362e-05,1.76362e-05,1.76362e-05
5,5.95836,1.2196,4.2694,1.4548,0.04132,1,0.30403,0.16031,1.84614,3.9329,2.69377,2.302e-05,2.302e-05,2.302e-05
6,6.37339,1.43187,4.356,1.53599,0.03941,1,0.31982,0.17057,2.00165,3.90736,2.72996,2.81563e-05,2.81563e-05,2.81563e-05
7,6.8284,1.23013,4.31198,1.46594,0.04104,1,0.17057,0.05117,2.16145,3.88985,2.72914,3.3045e-05,3.3045e-05,3.3045e-05
8,7.3394,1.27982,4.36277,1.43544,0.03673,1,0.14925,0.05286,2.07712,3.79245,2.74346,3.76863e-05,3.76863e-05,3.76863e-05
9,8.25232,1.47799,4.38277,1.58657,0.03865,1,0.1696,0.07123,1.99453,3.77968,2.72268,4.208e-05,4.208e-05,4.208e-05
10,9.03424,1.15381,4.29593,1.39171,0.04145,1,0.24875,0.10503,1.80295,3.74573,2.60995,4.62263e-05,4.62263e-05,4.62263e-05
11,9.94597,1.36129,4.40178,1.56229,0.025,0.5,0.07107,0.01421,2.092,3.8503,2.72692,5.0125e-05,5.0125e-05,5.0125e-05
12,10.8657,1.04115,4.00142,1.27335,0.03104,1,0.11371,0.02274,2.00861,3.74915,2.30999,5.37763e-05,5.37763e-05,5.37763e-05
13,11.7203,1.01146,4.12062,1.0707,0.02943,1,0.09601,0.0467,1.50968,3.59781,1.78006,5.718e-05,5.718e-05,5.718e-05
14,12.6256,1.16089,4.06354,1.29103,0.03147,1,0.08452,0.05206,1.28259,3.45185,1.36181,6.03362e-05,6.03362e-05,6.03362e-05
15,13.5201,1.06168,4.08795,1.36572,0.02827,1,0.11194,0.07836,1.05805,3.44822,1.26893,6.3245e-05,6.3245e-05,6.3245e-05
