epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.59377,2.47746,0.21875,0.61458,2.42383,6.875e-05,6.875e-05,6.875e-05
2,6.1446,2.17348,0.84375,0.9375,1.68066,0.000141378,0.000141378,0.000141378
3,7.07335,1.60121,1,1,0.72583,0.000211531,0.000211531,0.000211531
4,7.95294,0.92182,1,1,0.16772,0.000279209,0.000279209,0.000279209
5,9.03956,0.43085,1,1,0.04419,0.000344413,0.000344413,0.000344413
6,9.94787,0.21833,1,1,0.01194,0.000407141,0.000407141,0.000407141
7,10.913,0.11211,1,1,0.00378,0.000467394,0.000467394,0.000467394
8,11.8708,0.07068,1,1,0.00197,0.000525172,0.000525172,0.000525172
9,12.8387,0.03406,1,1,0.00152,0.0005425,0.0005425,0.0005425
10,13.8052,0.02118,1,1,0.00117,0.000532187,0.000532187,0.000532187
11,14.7023,0.0104,1,1,0.00112,0.000521875,0.000521875,0.000521875
12,15.6412,0.00975,1,1,0.00108,0.000511562,0.000511562,0.000511562
13,16.5252,0.00712,1,1,0.001,0.00050125,0.00050125,0.00050125
14,17.4322,0.00675,1,1,0.00084,0.000490937,0.000490937,0.000490937
15,18.3114,0.00774,1,1,0.00071,0.000480625,0.000480625,0.000480625
16,19.2308,0.00543,1,1,0.00062,0.000470312,0.000470312,0.000470312
17,20.0671,0.01487,1,1,0.00061,0.00046,0.00046,0.00046
18,20.9543,0.01627,1,1,0.00057,0.000449688,0.000449688,0.000449688
19,21.826,0.00972,1,1,0.00048,0.000439375,0.000439375,0.000439375
20,22.7077,0.00492,1,1,0.00045,0.000429063,0.000429063,0.000429063
21,23.5704,0.00616,1,1,0.00046,0.00041875,0.00041875,0.00041875
22,24.4698,0.01036,1,1,0.00043,0.000408438,0.000408438,0.000408438
23,25.4526,0.00398,1,1,0.00044,0.000398125,0.000398125,0.000398125
24,26.3712,0.00968,1,1,0.0004,0.000387813,0.000387813,0.000387813
25,27.2855,0.00403,1,1,0.00034,0.0003775,0.0003775,0.0003775
26,28.1925,0.00531,1,1,0.00034,0.000367187,0.000367187,0.000367187
27,29.0852,0.00489,1,1,0.00033,0.000356875,0.000356875,0.000356875
28,30.1082,0.00554,1,1,0.00036,0.000346563,0.000346563,0.000346563
29,31.0042,0.00189,1,1,0.00029,0.00033625,0.00033625,0.00033625
30,31.926,0.00756,1,1,0.00031,0.000325938,0.000325938,0.000325938
31,32.907,0.00295,1,1,0.00031,0.000315625,0.000315625,0.000315625
32,33.8268,0.00278,1,1,0.00033,0.000305312,0.000305312,0.000305312
33,34.7469,0.00319,1,1,0.00033,0.000295,0.000295,0.000295
34,35.6517,0.00536,1,1,0.00029,0.000284688,0.000284688,0.000284688
35,36.5438,0.00295,1,1,0.00024,0.000274375,0.000274375,0.000274375
36,37.4496,0.00388,1,1,0.00028,0.000264062,0.000264062,0.000264062
37,38.3414,0.00241,1,1,0.00023,0.00025375,0.00025375,0.00025375
38,39.2476,0.00505,1,1,0.00024,0.000243437,0.000243437,0.000243437
39,40.144,0.00204,1,1,0.00022,0.000233125,0.000233125,0.000233125
40,41.1517,0.00223,1,1,0.0002,0.000222813,0.000222813,0.000222813
41,42.0344,0.00192,1,1,0.00022,0.0002125,0.0002125,0.0002125
42,42.9426,0.00312,1,1,0.00021,0.000202188,0.000202188,0.000202188
43,43.9356,0.00183,1,1,0.00021,0.000191875,0.000191875,0.000191875
44,44.8554,0.00269,1,1,0.00021,0.000181563,0.000181563,0.000181563
45,45.7471,0.00123,1,1,0.00021,0.00017125,0.00017125,0.00017125
46,46.6688,0.01472,1,1,0.00021,0.000160938,0.000160938,0.000160938
47,47.5549,0.00193,1,1,0.00022,0.000150625,0.000150625,0.000150625
48,48.4794,0.00269,1,1,0.00021,0.000140313,0.000140313,0.000140313
49,49.3753,0.00163,1,1,0.00018,0.00013,0.00013,0.00013
50,50.2997,0.00387,1,1,0.0002,0.000119688,0.000119688,0.000119688
51,51.797,0.00159,1,1,0.00019,0.000109375,0.000109375,0.000109375
52,52.7001,0.00306,1,1,0.00021,9.90625e-05,9.90625e-05,9.90625e-05
53,53.6495,0.00326,1,1,0.00019,8.875e-05,8.875e-05,8.875e-05
54,54.5588,0.00235,1,1,0.00017,7.84375e-05,7.84375e-05,7.84375e-05
55,55.525,0.00255,1,1,0.00018,6.8125e-05,6.8125e-05,6.8125e-05
56,56.4614,0.00177,1,1,0.00016,5.78125e-05,5.78125e-05,5.78125e-05
57,57.3624,0.00172,1,1,0.00015,4.75e-05,4.75e-05,4.75e-05
58,58.3074,0.00117,1,1,0.00017,3.71875e-05,3.71875e-05,3.71875e-05
59,59.172,0.00401,1,1,0.00015,2.6875e-05,2.6875e-05,2.6875e-05
60,60.1245,0.00153,1,1,0.00016,1.65625e-05,1.65625e-05,1.65625e-05
