epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5518,2.25724,3.8153,1.21916,0.00083,0.01471,0.00043,0.00013,1.26565,3.61844,1.0835,0,0,0
2,4.95513,2.4357,3.75601,1.34924,0.00167,0.02941,0.00086,0.00026,1.26512,3.61821,1.08471,1.9901e-05,1.9901e-05,1.9901e-05
3,5.56477,1.8128,3.73283,1.17116,0.00167,0.02941,0.00086,0.00026,1.26608,3.61658,1.08545,3.9604e-05,3.9604e-05,3.9604e-05
4,6.21121,2.05839,3.73827,1.36237,0.0025,0.04412,0.00133,0.00035,1.22768,3.59884,1.05903,5.9109e-05,5.9109e-05,5.9109e-05
5,7.75658,1.56945,3.55501,1.31102,0.00917,0.16176,0.00541,0.00218,1.19913,3.57983,1.03701,7.8416e-05,7.8416e-05,7.8416e-05
6,9.10483,1.72351,3.54973,1.0802,0.01083,0.19118,0.00661,0.00272,1.19847,3.57777,1.03652,9.7525e-05,9.7525e-05,9.7525e-05
7,10.3529,2.0927,3.65869,1.12504,0.02,0.35294,0.01706,0.00755,1.18241,3.54731,1.00518,0.000116436,0.000116436,0.000116436
8,11.8343,1.78382,3.44073,1.08449,0.0275,0.48529,0.02698,0.01395,1.18989,3.50543,0.98928,0.000135149,0.000135149,0.000135149
9,13.1716,1.74663,3.20667,1.04425,0.0325,0.57353,0.03914,0.02215,1.20767,3.45567,0.98527,0.000153664,0.000153664,0.000153664
10,14.5435,1.56216,2.88042,1.01954,0.035,0.61765,0.04659,0.02553,1.26925,3.39905,0.99782,0.000171981,0.000171981,0.000171981
11,15.9293,1.85024,2.70957,0.96711,0.0375,0.66176,0.05254,0.02873,1.31843,3.34237,1.01103,0.0001901,0.0001901,0.0001901
12,17.2877,1.50555,2.1396,0.98652,0.03917,0.69118,0.05814,0.03287,1.32911,3.28001,1.01205,0.000208021,0.000208021,0.000208021
13,18.602,2.04067,1.89196,1.22663,0.04167,0.73529,0.06672,0.03673,1.33615,3.21809,1.0126,0.000225744,0.000225744,0.000225744
14,19.954,2.08067,1.65472,1.18611,0.04417,0.77941,0.076,0.04009,1.33915,3.17419,1.01876,0.000243269,0.000243269,0.000243269
15,21.3249,1.84459,1.24841,1.0838,0.04583,0.80882,0.20326,0.11559,1.29855,3.117,1.00507,0.000260596,0.000260596,0.000260596
16,22.6578,1.82433,1.15286,1.03122,0.04833,0.85294,0.36135,0.20592,1.25912,3.03894,0.98072,0.000277725,0.000277725,0.000277725
17,23.989,1.80814,1.33243,1.21037,0.04833,0.85294,0.46881,0.24838,1.28284,2.99263,0.99363,0.000294656,0.000294656,0.000294656
18,25.705,1.85437,1.37342,1.11,0.04833,0.85294,0.46881,0.24838,1.28284,2.99263,0.99363,0.000311389,0.000311389,0.000311389
19,27.0521,2.07094,1.26955,1.07195,0.04833,0.85294,0.55,0.28058,1.31021,2.90349,0.99891,0.000327924,0.000327924,0.000327924
20,28.334,1.75746,1.33046,1.01315,0.04833,0.85294,0.55,0.28058,1.31021,2.90349,0.99891,0.000344261,0.000344261,0.000344261
21,29.665,1.61475,1.09701,1.03449,0.06644,0.88235,0.71643,0.36256,1.31638,2.83823,1.00171,0.0003604,0.0003604,0.0003604
22,31.074,1.88458,1.13725,1.03998,0.06644,0.88235,0.71643,0.36256,1.31638,2.83823,1.00171,0.000376341,0.000376341,0.000376341
23,32.3933,1.81838,1.70864,1.15985,0.09955,0.83824,0.75938,0.42334,1.36782,2.80381,1.0233,0.000392084,0.000392084,0.000392084
24,33.7094,1.69186,1.06375,1.08671,0.09955,0.83824,0.75938,0.42334,1.36782,2.80381,1.0233,0.000407629,0.000407629,0.000407629
25,35.0372,1.72976,1.04486,1.05045,1,0.60466,0.76446,0.45683,1.42504,2.70783,1.03157,0.000422976,0.000422976,0.000422976
26,36.3714,1.69414,1.06745,1.00027,1,0.60466,0.76446,0.45683,1.42504,2.70783,1.03157,0.000438125,0.000438125,0.000438125
27,37.8113,1.46549,1.0292,1.03358,1,0.46268,0.78281,0.46274,1.53073,2.63901,1.06694,0.000453076,0.000453076,0.000453076
28,39.1297,1.4939,1.05704,1.02195,1,0.46268,0.78281,0.46274,1.53073,2.63901,1.06694,0.000467829,0.000467829,0.000467829
29,40.5797,1.3913,0.93834,0.93841,1,0.33012,0.83694,0.4791,1.57638,2.56158,1.08314,0.000482384,0.000482384,0.000482384
30,42.2175,1.65134,0.99461,0.94601,1,0.33012,0.83694,0.4791,1.57638,2.56158,1.08314,0.000496741,0.000496741,0.000496741
31,43.6966,1.66475,0.98871,1.0254,1,0.26955,0.87332,0.47205,1.55486,2.46822,1.07935,0.0005109,0.0005109,0.0005109
32,44.6094,1.72464,1.02997,1.07853,1,0.26955,0.87332,0.47205,1.55486,2.46822,1.07935,0.000524861,0.000524861,0.000524861
33,45.5302,1.74964,1.00333,1.06704,1,0.31251,0.84489,0.45373,1.51959,2.43133,1.07149,0.000538624,0.000538624,0.000538624
34,46.4471,1.41387,0.88144,0.93727,1,0.31251,0.84489,0.45373,1.51959,2.43133,1.07149,0.000552189,0.000552189,0.000552189
35,47.2988,1.41934,0.94538,1.01647,1,0.41224,0.79598,0.43113,1.49127,2.45189,1.06068,0.000565556,0.000565556,0.000565556
36,48.1963,1.73781,0.94648,1.02598,1,0.41224,0.79598,0.43113,1.49127,2.45189,1.06068,0.000578725,0.000578725,0.000578725
37,49.1306,1.51469,0.89528,0.96016,0.80026,0.52941,0.63706,0.35405,1.48315,2.54192,1.06177,0.000591696,0.000591696,0.000591696
38,50.0587,1.57976,0.90055,1.11974,0.80026,0.52941,0.63706,0.35405,1.48315,2.54192,1.06177,0.000604469,0.000604469,0.000604469
39,50.9675,1.54766,0.94534,1.01635,0.49203,0.60294,0.55465,0.30914,1.4614,2.59055,1.06028,0.000617044,0.000617044,0.000617044
40,51.8208,1.42519,0.99777,1.03802,0.49203,0.60294,0.55465,0.30914,1.4614,2.59055,1.06028,0.000629421,0.000629421,0.000629421
41,52.7117,1.5546,1.0744,1.08025,0.07592,0.80882,0.41741,0.2332,1.42943,2.66398,1.06045,0.0006416,0.0006416,0.0006416
42,53.844,1.37525,1.00702,1.03642,0.07592,0.80882,0.41741,0.2332,1.42943,2.66398,1.06045,0.000653581,0.000653581,0.000653581
43,54.6552,1.47832,1.01884,1.02329,0.07069,0.80882,0.22053,0.11958,1.41634,2.69672,1.077,0.000665364,0.000665364,0.000665364
44,55.4652,1.31971,0.98968,0.99232,0.07069,0.80882,0.22053,0.11958,1.41634,2.69672,1.077,0.000676949,0.000676949,0.000676949
45,56.2587,1.38623,0.90716,1.0643,0.08072,0.66176,0.19242,0.10049,1.48038,2.67541,1.10893,0.000688336,0.000688336,0.000688336
46,57.0756,1.43962,0.94666,0.97182,0.08072,0.66176,0.19242,0.10049,1.48038,2.67541,1.10893,0.000699525,0.000699525,0.000699525
47,57.9175,1.43219,0.94215,1.10996,0.14333,0.67647,0.20875,0.10244,1.54035,2.66907,1.12169,0.000710516,0.000710516,0.000710516
48,58.9013,1.58204,1.10319,0.94408,0.14333,0.67647,0.20875,0.10244,1.54035,2.66907,1.12169,0.000721309,0.000721309,0.000721309
49,59.6376,1.26244,0.93701,0.94049,0.0525,0.92647,0.20401,0.09836,1.57081,2.75671,1.13529,0.000731904,0.000731904,0.000731904
50,60.3606,1.5347,0.92082,0.96638,0.0525,0.92647,0.20401,0.09836,1.57081,2.75671,1.13529,0.000742301,0.000742301,0.000742301
51,61.1046,1.53055,0.93925,0.97538,0.05,0.88235,0.15768,0.07649,1.58201,2.84668,1.14103,0.0007525,0.0007525,0.0007525
52,61.8004,1.22249,0.81403,0.93072,0.05,0.88235,0.15768,0.07649,1.58201,2.84668,1.14103,0.000762501,0.000762501,0.000762501
53,62.6684,1.42952,0.8981,1.05882,0.05,0.88235,0.15768,0.07649,1.58201,2.84668,1.14103,0.000772304,0.000772304,0.000772304
54,63.3841,1.40489,0.89903,1.12247,0.05083,0.89706,0.13994,0.07035,1.53563,2.93173,1.13127,0.000781909,0.000781909,0.000781909
55,64.0977,1.42454,0.87241,1.02099,0.05083,0.89706,0.13994,0.07035,1.53563,2.93173,1.13127,0.000791316,0.000791316,0.000791316
56,64.8,1.43874,0.87881,0.98794,0.05083,0.89706,0.13994,0.07035,1.53563,2.93173,1.13127,0.000800525,0.000800525,0.000800525
57,65.549,1.17369,0.83417,0.99479,0.05,0.88235,0.17742,0.09631,1.46895,2.85924,1.10635,0.000809536,0.000809536,0.000809536
58,66.2732,1.40362,1.22056,1.23591,0.05,0.88235,0.17742,0.09631,1.46895,2.85924,1.10635,0.000818349,0.000818349,0.000818349
59,67.0135,1.54863,0.8314,0.90301,0.05,0.88235,0.17742,0.09631,1.46895,2.85924,1.10635,0.000826964,0.000826964,0.000826964
60,67.7355,1.43342,1.02505,1.04438,0.05083,0.89706,0.16855,0.0872,1.47111,2.85283,1.11298,0.000835381,0.000835381,0.000835381
61,68.4802,1.32099,0.8682,0.98239,0.05083,0.89706,0.16855,0.0872,1.47111,2.85283,1.11298,0.0008436,0.0008436,0.0008436
62,69.1847,1.27927,0.83356,0.99475,0.05083,0.89706,0.16855,0.0872,1.47111,2.85283,1.11298,0.000851621,0.000851621,0.000851621
63,69.9233,1.38008,0.83881,0.98906,0.05167,0.91176,0.2243,0.12642,1.41302,2.75065,1.08395,0.000859444,0.000859444,0.000859444
64,70.6229,1.50915,0.88562,1.0174,0.05167,0.91176,0.2243,0.12642,1.41302,2.75065,1.08395,0.000867069,0.000867069,0.000867069
65,71.3712,1.58868,0.81103,1.02745,0.05167,0.91176,0.2243,0.12642,1.41302,2.75065,1.08395,0.000874496,0.000874496,0.000874496
66,72.2663,1.27655,0.7711,0.91679,0.055,0.97059,0.48046,0.29675,1.40673,2.58754,1.07264,0.000881725,0.000881725,0.000881725
67,72.9981,1.40815,0.82084,1.04778,0.055,0.97059,0.48046,0.29675,1.40673,2.58754,1.07264,0.000888756,0.000888756,0.000888756
68,73.6534,1.17671,0.78707,0.98533,0.055,0.97059,0.48046,0.29675,1.40673,2.58754,1.07264,0.000895589,0.000895589,0.000895589
69,74.3004,1.56714,0.83095,1.06535,1,0.43392,0.80971,0.42955,1.53384,2.42337,1.14463,0.000902224,0.000902224,0.000902224
70,74.9397,1.32288,0.79172,1.07364,1,0.43392,0.80971,0.42955,1.53384,2.42337,1.14463,0.000908661,0.000908661,0.000908661
71,75.5875,1.65267,0.89338,1.00403,1,0.43392,0.80971,0.42955,1.53384,2.42337,1.14463,0.0009149,0.0009149,0.0009149
72,76.2585,1.31284,0.7836,1.00047,1,0.37301,0.86229,0.46697,1.50817,2.26487,1.13815,0.000920941,0.000920941,0.000920941
73,76.9619,1.35889,0.7735,0.9939,1,0.37301,0.86229,0.46697,1.50817,2.26487,1.13815,0.000926784,0.000926784,0.000926784
74,77.6655,1.42569,0.8102,0.98314,1,0.37301,0.86229,0.46697,1.50817,2.26487,1.13815,0.000932429,0.000932429,0.000932429
75,78.4338,1.5778,0.85173,1.00688,0.76766,0.41176,0.64197,0.36923,1.44608,2.17003,1.10305,0.000937876,0.000937876,0.000937876
76,79.1923,1.42047,0.84411,1.00023,0.76766,0.41176,0.64197,0.36923,1.44608,2.17003,1.10305,0.000943125,0.000943125,0.000943125
