epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53925,1.89095,3.53506,1.26797,0.07535,0.09091,0.02372,0.00249,1.40421,4.27784,1.24196,0,0,0
2,4.02058,2.28541,3.56837,1.28314,0.10841,0.09091,0.02519,0.00264,1.41063,4.28374,1.24445,1.9604e-05,1.9604e-05,1.9604e-05
3,5.40408,1.98495,3.60136,1.3031,0.12534,0.09091,0.0272,0.00284,1.40883,4.27645,1.24461,3.8416e-05,3.8416e-05,3.8416e-05
4,6.71264,2.04857,3.2834,1.27369,0.11413,0.09091,0.03511,0.00363,1.40072,4.2715,1.24436,5.6436e-05,5.6436e-05,5.6436e-05
5,8.00224,2.10447,3.50681,1.4592,0.13481,0.09091,0.0304,0.00325,1.39808,4.27301,1.24457,7.3664e-05,7.3664e-05,7.3664e-05
6,8.83284,2.07929,3.67452,1.37208,0.43665,0.31715,0.27066,0.08229,1.19678,2.7782,1.12783,9.01e-05,9.01e-05,9.01e-05
7,12.3374,1.84279,2.25075,1.15331,0.89625,0.77273,0.93368,0.57798,1.01847,1.36509,1.03618,0.000105744,0.000105744,0.000105744
8,15.7841,1.75132,1.31844,1.03377,0.91319,0.95455,0.96667,0.67365,0.99781,0.99732,1.00905,0.000120596,0.000120596,0.000120596
9,19.1479,1.54298,1.0842,1.08161,0.91319,0.95455,0.96667,0.67365,0.99781,0.99732,1.00905,0.000134656,0.000134656,0.000134656
10,22.8175,1.54383,1.28461,1.14086,0.84966,0.95455,0.97446,0.70574,0.99429,0.9874,0.99634,0.000147924,0.000147924,0.000147924
11,26.2571,1.60641,0.90789,1.0216,0.84966,0.95455,0.97446,0.70574,0.99429,0.9874,0.99634,0.0001604,0.0001604,0.0001604
12,29.6656,1.57409,0.91808,1.02735,0.80713,0.95123,0.94254,0.73849,0.95261,0.98409,0.99068,0.000172084,0.000172084,0.000172084
13,33.0322,1.60212,1.04436,1.12242,0.80713,0.95123,0.94254,0.73849,0.95261,0.98409,0.99068,0.000182976,0.000182976,0.000182976
14,36.7233,1.77934,0.96342,1.08034,0.81237,0.98438,0.96393,0.74748,0.96713,0.8935,0.99215,0.000193076,0.000193076,0.000193076
15,40.1902,1.50761,0.9479,1.07726,0.81237,0.98438,0.96393,0.74748,0.96713,0.8935,0.99215,0.000202384,0.000202384,0.000202384
16,43.6771,1.54702,0.96574,1.10486,0.95387,1,0.99326,0.7563,0.96469,0.70105,0.99009,0.0002109,0.0002109,0.0002109
17,47.1197,1.37375,0.86278,1.02801,0.95387,1,0.99326,0.7563,0.96469,0.70105,0.99009,0.000218624,0.000218624,0.000218624
18,50.526,1.34091,0.7624,0.96445,1,0.99109,0.995,0.77484,0.89987,0.64904,0.96588,0.000225556,0.000225556,0.000225556
19,53.9397,1.51478,0.80006,1.0526,1,0.99109,0.995,0.77484,0.89987,0.64904,0.96588,0.000231696,0.000231696,0.000231696
20,57.4849,1.42808,0.83913,0.98845,0.99492,1,0.995,0.78721,0.88181,0.62,0.9546,0.000237044,0.000237044,0.000237044
21,60.8973,1.56578,0.79133,0.97387,0.99492,1,0.995,0.78721,0.88181,0.62,0.9546,0.0002416,0.0002416,0.0002416
22,64.3543,1.46626,0.77014,0.95409,0.98871,1,0.995,0.77782,0.90426,0.6262,0.9547,0.000245364,0.000245364,0.000245364
23,66.349,1.40049,0.7191,1.01654,0.98871,1,0.995,0.77782,0.90426,0.6262,0.9547,0.000248336,0.000248336,0.000248336
24,68.3789,1.3393,0.78564,1.05392,0.98871,1,0.995,0.77782,0.90426,0.6262,0.9547,0.000250516,0.000250516,0.000250516
25,70.2758,1.42555,0.79382,0.97722,0.98494,1,0.995,0.78295,0.87302,0.63027,0.94613,0.000251904,0.000251904,0.000251904
26,72.14,1.29395,0.70404,0.91154,0.98494,1,0.995,0.78295,0.87302,0.63027,0.94613,0.0002525,0.0002525,0.0002525
27,73.9549,1.43387,0.71996,1.02038,0.98494,1,0.995,0.78295,0.87302,0.63027,0.94613,0.000252304,0.000252304,0.000252304
28,76.0167,1.54334,0.74857,0.97545,0.98023,1,0.995,0.78058,0.86514,0.74454,0.94324,0.000251316,0.000251316,0.000251316
29,77.8322,1.38519,0.65938,0.97994,0.98023,1,0.995,0.78058,0.86514,0.74454,0.94324,0.000249536,0.000249536,0.000249536
30,80.467,1.32512,0.73959,0.93637,0.98023,1,0.995,0.78058,0.86514,0.74454,0.94324,0.000246964,0.000246964,0.000246964
31,82.4467,1.2155,0.61528,0.97193,0.94837,1,0.99326,0.76638,0.89943,0.84436,0.95017,0.0002436,0.0002436,0.0002436
32,84.2989,1.18976,0.59162,0.94192,0.94837,1,0.99326,0.76638,0.89943,0.84436,0.95017,0.000239444,0.000239444,0.000239444
33,86.1561,1.31368,0.70513,0.91995,0.94837,1,0.99326,0.76638,0.89943,0.84436,0.95017,0.000234496,0.000234496,0.000234496
34,88.1362,1.28776,0.76678,0.99637,1,0.98828,0.995,0.75767,0.91599,0.71092,0.95752,0.000228756,0.000228756,0.000228756
35,89.9415,1.49642,0.63894,1.01213,1,0.98828,0.995,0.75767,0.91599,0.71092,0.95752,0.000222224,0.000222224,0.000222224
36,91.782,1.34881,0.61998,1.00219,1,0.98828,0.995,0.75767,0.91599,0.71092,0.95752,0.0002149,0.0002149,0.0002149
37,93.6608,1.13845,0.63057,0.96064,1,0.98828,0.995,0.75767,0.91599,0.71092,0.95752,0.000206784,0.000206784,0.000206784
38,95.6967,1.40325,0.6801,1.07241,0.95504,1,0.99326,0.78305,0.942,0.60327,0.97076,0.000197876,0.000197876,0.000197876
39,97.6099,1.18185,0.62156,0.96961,0.95504,1,0.99326,0.78305,0.942,0.60327,0.97076,0.000188176,0.000188176,0.000188176
40,99.5568,1.30748,0.65557,0.93338,0.95504,1,0.99326,0.78305,0.942,0.60327,0.97076,0.000177684,0.000177684,0.000177684
41,102.086,1.29047,0.68797,1.00406,0.95504,1,0.99326,0.78305,0.942,0.60327,0.97076,0.0001664,0.0001664,0.0001664
42,104.356,1.33612,0.66985,1.02307,0.95629,0.99471,0.99326,0.74977,0.99525,0.60392,0.99,0.000154324,0.000154324,0.000154324
43,106.282,1.2899,0.66334,1.02413,0.95629,0.99471,0.99326,0.74977,0.99525,0.60392,0.99,0.000141456,0.000141456,0.000141456
44,108.186,1.30936,0.67163,1.00512,0.95629,0.99471,0.99326,0.74977,0.99525,0.60392,0.99,0.000127796,0.000127796,0.000127796
45,110.291,1.28106,0.66882,1.00854,0.95629,0.99471,0.99326,0.74977,0.99525,0.60392,0.99,0.000113344,0.000113344,0.000113344
46,112.209,1.41648,0.67973,1.08353,0.95638,0.9967,0.99326,0.753,0.98907,0.59505,0.98608,9.81e-05,9.81e-05,9.81e-05
47,114.083,1.41239,0.65707,1.1441,0.95638,0.9967,0.99326,0.753,0.98907,0.59505,0.98608,8.2064e-05,8.2064e-05,8.2064e-05
